,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.70,0.01,0.0,0.47,0.09,0.15
0.75,0.17,0.03,0.53,0.48,0.51
0.80,0.19,0.19,0.56,0.97,0.71
0.85,0.07,0.05,0.52,0.99,0.68
0.90,0.02,0.01,0.5,1.0,0.67
0.95,0.0,0.0,0.5,1.0,0.67
max
0.70,0.01,0.0,0.5,0.1,0.16
0.75,0.19,0.03,0.53,0.49,0.51
0.80,0.2,0.2,0.56,0.97,0.71
0.85,0.07,0.06,0.53,0.99,0.69
0.90,0.02,0.02,0.51,1.0,0.68
0.95,0.0,0.0,0.51,1.0,0.67
min
0.70,0.01,0.0,0.46,0.08,0.13
0.75,0.16,0.03,0.52,0.47,0.5
0.80,0.18,0.18,0.55,0.96,0.7
0.85,0.06,0.04,0.52,0.99,0.68
0.90,0.01,0.01,0.5,1.0,0.67
0.95,0.0,0.0,0.5,1.0,0.67
std
0.70,0.0,0.0,0.02,0.01,0.01
0.75,0.01,0.0,0.0,0.01,0.0
0.80,0.01,0.01,0.0,0.0,0.0
0.85,0.0,0.01,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0,0.0
test finished in 404.55 seconds
