,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.01,0.0,0.98,0.04,0.08
0.10,0.08,0.01,0.96,0.39,0.56
0.15,0.32,0.08,0.95,0.81,0.87
0.20,0.57,0.51,0.94,0.95,0.95
0.25,0.39,0.37,0.92,0.97,0.94
0.30,0.27,0.27,0.9,0.98,0.94
0.35,0.2,0.22,0.9,0.98,0.94
0.40,0.13,0.15,0.89,0.99,0.94
0.45,0.06,0.1,0.88,0.99,0.93
max
0.05,0.01,0.0,0.98,0.04,0.08
0.10,0.08,0.01,0.96,0.39,0.56
0.15,0.32,0.08,0.95,0.81,0.87
0.20,0.57,0.51,0.94,0.95,0.95
0.25,0.39,0.37,0.92,0.97,0.94
0.30,0.27,0.27,0.9,0.98,0.94
0.35,0.2,0.22,0.9,0.98,0.94
0.40,0.13,0.15,0.89,0.99,0.94
0.45,0.06,0.1,0.88,0.99,0.93
min
0.05,0.01,0.0,0.98,0.04,0.08
0.10,0.08,0.01,0.96,0.39,0.56
0.15,0.32,0.08,0.95,0.81,0.87
0.20,0.57,0.51,0.94,0.95,0.95
0.25,0.39,0.37,0.92,0.97,0.94
0.30,0.27,0.27,0.9,0.98,0.94
0.35,0.2,0.22,0.9,0.98,0.94
0.40,0.13,0.15,0.89,0.99,0.94
0.45,0.06,0.1,0.88,0.99,0.93
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 8555.12 seconds
